ID;num_critic_for_reviews;color;duration;gross;genres;genres;genres;genres;genres;genres;genres;genres;budget;title_year;imdb_score;aspect_ratio;movie_facebook_likes
48;539;Color;149;233914986;Action;Adventure;Fantasy;Sci-Fi;Thriller;;;;200000000;2014;8.0;2.35;82000
49;590;Color;132;228756232;Action;Adventure;Sci-Fi;;;;;;190000000;2013;7.8;2.35;92000
50;338;Color;114;65171860;Adventure;Fantasy;;;;;;;195000000;2013;6.3;2.35;22000
51;490;Color;143;144812796;Drama;Romance;;;;;;;105000000;2013;7.3;2.35;115000
52;306;Color;116;90755643;Action;Adventure;Fantasy;Romance;;;;;200000000;2010;6.6;2.35;23000
53;575;Color;131;101785482;Action;Adventure;Sci-Fi;;;;;;190000000;2013;7.0;1.85;83000
54;428;Color;154;352358779;Action;Adventure;Sci-Fi;;;;;;195000000;2011;6.3;2.35;46000
55;470;Color;122;317011114;Action;Adventure;Fantasy;;;;;;185000000;2008;6.2;2.35;5000
56;298;Color;93;123070338;Adventure;Animation;Comedy;Family;Fantasy;;;;;2015;6.8;2.35;20000
57;488;Color;93;237282182;Adventure;Animation;Comedy;Family;Fantasy;;;;185000000;2012;7.2;2.35;39000
58;322;Color;122;130468626;Action;Adventure;Sci-Fi;Thriller;;;;;185000000;2016;7.5;2.35;30000
59;421;Color;98;223806889;Adventure;Animation;Family;Sci-Fi;;;;;180000000;2008;8.4;2.35;16000
60;162;Color;91;140080850;Action;Comedy;Crime;Thriller;;;;;140000000;2007;6.2;2.35;0
61;367;Color;158;166112167;Action;Adventure;Sci-Fi;;;;;;200000000;2009;5.8;2.35;13000
62;240;Color;96;137850096;Animation;Drama;Family;Fantasy;;;;;200000000;2009;6.8;2.35;0
63;384;Color;127;47375327;Action;Adventure;Sci-Fi;;;;;;176000000;2015;5.4;2.35;44000
64;248;Color;110;124051759;Action;Adventure;Drama;Romance;;;;;180000000;2016;6.6;2.35;29000
65;284;Color;150;291709845;Adventure;Family;Fantasy;;;;;;180000000;2005;6.9;2.35;0
66;396;Color;144;154985087;Action;Adventure;Sci-Fi;;;;;;178000000;2016;7.3;2.35;54000
67;645;Color;152;533316061;Action;Crime;Drama;Thriller;;;;;185000000;2008;9.0;2.35;37000
68;408;Color;96;292979556;Adventure;Animation;Comedy;Family;;;;;175000000;2009;8.3;1.85;27000
69;219;Color;94;198332128;Action;Adventure;Animation;Comedy;Family;Sci-Fi;;;175000000;2009;6.5;2.35;0
70;486;Color;126;318298180;Action;Adventure;Sci-Fi;;;;;;140000000;2008;7.9;2.35;10000
71;682;Color;126;73820094;Adventure;Drama;Family;Mystery;;;;;170000000;2011;7.5;1.85;42000
72;85;Color;106;113745408;Action;Comedy;Sci-Fi;Western;;;;;170000000;1999;4.8;1.85;0
73;264;Color;112;102176165;Action;Adventure;Fantasy;Horror;Thriller;;;;145000000;2008;5.2;2.35;0
74;418;Color;123;161087183;Action;Adventure;Comedy;Sci-Fi;;;;;175000000;2016;6.9;2.35;80000
75;186;Color;96;100289690;Comedy;Family;Fantasy;;;;;;175000000;2007;5.4;2.35;2000
76;585;Color;113;100189501;Action;Adventure;Sci-Fi;;;;;;178000000;2014;7.9;2.35;77000
77;91;Color;176;88246220;Action;Adventure;Sci-Fi;Thriller;;;;;175000000;1995;6.1;1.85;0
78;250;Color;118;150167630;Action;Adventure;Sci-Fi;Thriller;;;;;175000000;2009;5.8;2.35;0
79;536;Color;95;356454367;Adventure;Animation;Comedy;Drama;Family;Fantasy;;;175000000;2015;8.3;1.85;118000
80;370;Color;106;362645141;Adventure;Drama;Family;Fantasy;;;;;175000000;2016;7.8;1.85;65000
81;453;Color;124;312057433;Action;Adventure;Sci-Fi;;;;;;200000000;2010;7.0;2.35;18000
82;416;Color;132;155111815;Action;Adventure;Drama;Fantasy;;;;;170000000;2012;6.1;2.35;53000
83;401;Color;97;241407328;Action;Adventure;Family;Fantasy;Romance;;;;180000000;2014;7.0;2.35;89000
84;521;Color;130;208543795;Action;Adventure;Drama;Sci-Fi;;;;;170000000;2014;7.6;1.85;45000
85;10;Color;109;;Action;Adventure;Romance;Sci-Fi;;;;;;2015;4.5;;677
86;218;Color;128;38297305;Action;Adventure;Drama;Fantasy;;;;;175000000;2013;6.3;2.35;35000
87;576;Color;136;259746958;Action;Adventure;Sci-Fi;;;;;;170000000;2014;7.8;2.35;55000
88;226;Color;93;238371987;Adventure;Animation;Comedy;Family;Fantasy;;;;165000000;2010;6.4;2.35;0
89;443;Color;130;93417865;Action;Adventure;Family;Mystery;Sci-Fi;;;;190000000;2015;6.5;2.2;37000
90;384;Color;102;222487711;Action;Adventure;Animation;Comedy;Drama;Family;Sci-Fi;;165000000;2014;7.9;2.39;41000
91;377;Color;101;189412677;Adventure;Animation;Comedy;Family;Sci-Fi;;;;165000000;2012;7.8;2.35;40000
92;188;Color;100;665426;Adventure;Animation;Family;Fantasy;;;;;165000000;2004;6.6;2.35;10000
93;286;Color;120;102315545;Action;Adventure;Sci-Fi;;;;;;165000000;2016;5.5;2.35;67000
94;288;Color;98;217387997;Adventure;Animation;Family;Fantasy;;;;;165000000;2010;8.2;2.35;33000
95;280;Color;109;150350192;Action;Sci-Fi;;;;;;;200000000;2003;6.4;2.35;0
96;653;Color;121;333130696;Action;Adventure;Sci-Fi;;;;;;170000000;2014;8.1;2.35;96000
97;712;Color;169;187991439;Adventure;Drama;Sci-Fi;;;;;;165000000;2014;8.6;2.35;349000
98;642;Color;148;292568851;Action;Adventure;Sci-Fi;Thriller;;;;;160000000;2010;8.8;2.35;175000
99;1;Color;120;;Action;Adventure;Drama;Horror;Sci-Fi;;;;;2016;8.2;2.35;0
100;645;Color;182;303001229;Adventure;Fantasy;;;;;;;180000000;2012;7.9;2.35;166000
101;187;Color;106;144512310;Action;Crime;Thriller;;;;;;38000000;2001;6.7;2.35;14000
102;362;Color;166;127490802;Drama;Fantasy;Romance;;;;;;150000000;2008;7.8;2.35;23000
103;500;Color;132;146405371;Action;Adventure;Sci-Fi;;;;;;160000000;2011;7.8;2.35;54000
104;389;Color;137;281666058;Adventure;Sci-Fi;;;;;;;160000000;2015;6.6;2.35;38000
105;235;Color;109;63143812;Action;Adventure;Family;Fantasy;;;;;150000000;2010;6.1;2.35;11000
106;231;Color;98;60655503;Action;Adventure;Drama;Thriller;;;;;160000000;2006;5.6;2.35;0
107;218;Color;113;76846624;Adventure;Family;Fantasy;;;;;;170000000;2016;6.4;1.85;30000
108;227;Color;93;320706665;Adventure;Animation;Comedy;Family;Fantasy;;;;160000000;2007;6.1;1.85;0
109;275;Color;123;46978995;Action;Adventure;Fantasy;;;;;;160000000;2016;7.3;2.35;89000
110;474;Color;126;89732035;Action;Adventure;Sci-Fi;;;;;;155000000;2015;6.6;2.35;82000
111;228;Color;113;104383624;Adventure;Family;Fantasy;;;;;;155000000;2010;6.3;1.78;11000
112;191; Black and White;184;198539855;Action;Drama;History;Romance;War;;;;140000000;2001;6.1;2.35;0
113;396;Color;144;318759914;Action;Adventure;Sci-Fi;;;;;;150000000;2007;7.1;2.35;8000
114;248;Color;206;34293771;Action;Adventure;Biography;Drama;History;Romance;War;;155000000;2004;5.5;2.35;0
115;329;Color;138;292000866;Adventure;Family;Fantasy;Mystery;;;;;150000000;2007;7.5;2.35;0
116;295;Color;157;289994397;Adventure;Family;Fantasy;Mystery;;;;;150000000;2005;7.6;2.35;0
117;318;Color;102;227946274;Action;Drama;;;;;;;150000000;2008;6.4;2.35;0
118;323;Color;104;256386216;Drama;Horror;Sci-Fi;;;;;;150000000;2007;7.2;2.35;11000
119;276;Color;115;206456431;Adventure;Comedy;Family;Fantasy;;;;;150000000;2005;6.7;1.85;0
120;318;Color;111;206435493;Animation;Comedy;Family;Fantasy;;;;;150000000;2007;8.0;2.35;10000
121;478;Color;128;205343774;Action;Adventure;;;;;;;150000000;2005;8.3;2.35;15000
122;167;Color;89;179982968;Action;Adventure;Animation;Comedy;Family;;;;150000000;2008;6.7;1.85;0
123;185;Color;105;177243721;Adventure;Comedy;Family;Fantasy;;;;;150000000;2009;5.9;2.35;2000
124;350;Color;119;179883016;Action;Adventure;Fantasy;Sci-Fi;Thriller;;;;150000000;2009;6.7;2.35;0
125;245;Color;129;139259759;Action;Sci-Fi;;;;;;;150000000;2003;6.7;2.35;0
126;406;Color;102;400736600;Adventure;Animation;Comedy;Family;Fantasy;Musical;;;150000000;2013;7.6;2.24;58000
127;275;Color;138;281492479;Action;Sci-Fi;;;;;;;150000000;2003;7.2;2.35;0
128;486;Color;112;206360018;Action;Adventure;Fantasy;;;;;;170000000;2013;7.1;2.35;63000
129;739;Color;120;153629485;Action;Adventure;Sci-Fi;Thriller;;;;;150000000;2015;8.1;2.35;191000
130;298;Color;146;133375846;Mystery;Thriller;;;;;;;150000000;2009;6.7;2.35;0
131;516;Color;115;181015141;Action;Adventure;Fantasy;;;;;;150000000;2011;7.0;2.35;63000
132;225;Color;96;114053579;Adventure;Animation;Comedy;Drama;Family;;;;150000000;2008;6.9;1.85;0
133;145;Color;88;119420252;Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi;;150000000;2009;5.1;2.35;0
134;310;Color;99;83640426;Action;Adventure;Fantasy;;;;;;150000000;2012;5.8;1.85;19000
135;526;Color;113;79711678;Comedy;Fantasy;Horror;;;;;;100000000;2012;6.2;1.85;82000
136;465;Color;131;195000874;Action;Adventure;Thriller;;;;;;150000000;2015;7.4;2.35;47000
137;357;Color;119;61937495;Drama;Fantasy;Horror;Thriller;;;;;150000000;2010;5.8;1.85;0
138;248;Color;110;124051759;Action;Adventure;Drama;Romance;;;;;180000000;2016;6.6;2.35;29000
139;194;Color;91;126597121;Adventure;Animation;Comedy;Family;;;;;150000000;2007;6.2;1.85;0
140;284;Color;90;165230261;Action;Adventure;Animation;Comedy;Family;;;;150000000;2011;7.3;2.35;20000
141;280;Color;103;131564731;Action;Adventure;Family;Fantasy;;;;;150000000;2010;4.2;2.35;18000
142;310;Color;124;133382309;Action;Adventure;Thriller;;;;;;150000000;2006;6.9;2.35;0
143;339;Color;131;73103784;Action;Drama;Thriller;;;;;;150000000;2013;6.4;2.35;33000
144;132;Color;88;21379315;Action;Adventure;Animation;Comedy;Family;Sci-Fi;;;150000000;2011;5.4;2.35;0
145;135;Color;85;64459316;Adventure;Animation;Comedy;Family;;;;;149000000;2006;6.7;1.85;0
146;256;Color;111;34964818;Adventure;Family;Fantasy;;;;;;150000000;2015;5.8;2.35;24000
147;196;Color;92;111505642;Adventure;Animation;Comedy;Family;Sci-Fi;;;;145000000;2014;6.9;1.85;11000
148;220;Color;196;133228348;Adventure;;;;;;;;175000000;2004;7.2;2.35;0
149;211;Color;93;216366733;Adventure;Animation;Comedy;Family;;;;;145000000;2012;6.9;1.85;17000
150;264; Black and White;133;160201106;Action;Adventure;Thriller;;;;;;142000000;2002;6.1;2.35;0
151;464;Color;116;118099659;Action;Comedy;Fantasy;Sci-Fi;;;;;144000000;2016;5.5;2.35;62000
152;167;Color;153;201573391;Action;Adventure;Sci-Fi;Thriller;;;;;140000000;1998;6.6;2.35;11000
153;208;Color;88;190418803;Action;Adventure;Comedy;Family;Fantasy;Mystery;Sci-Fi;;140000000;2002;6.1;1.85;2000
154;287;Color;115;82161969;Action;Adventure;Animation;Fantasy;;;;;150000000;2007;6.3;2.35;3000
155;210;Color;95;143523463;Action;Adventure;Animation;Comedy;Family;;;;145000000;2016;7.2;2.35;24000
156;432;Color;133;209364921;Action;Adventure;Thriller;;;;;;145000000;2011;7.4;2.35;35000
157;256;Color;97;103400692;Adventure;Animation;Family;Fantasy;;;;;145000000;2012;7.3;1.85;25000
158;135;Color;90;110332737;Comedy;Crime;;;;;;;100000000;2005;6.1;2.35;2000
159;190;Color;154;111110575;Action;Drama;History;War;;;;;140000000;2003;7.7;2.35;0
160;314;Color;150;65007045;Action;Adventure;Drama;;;;;;140000000;2014;6.1;2.35;51000
161;518;Color;127;257704099;Action;Adventure;Sci-Fi;;;;;;150000000;2009;8.0;2.35;19000
162;291;Color;121;403706375;Action;Adventure;Fantasy;Romance;;;;;139000000;2002;7.3;1.85;5000
163;292;Color;102;176997107;Action;Adventure;Animation;Comedy;Family;Fantasy;;;145000000;2014;7.9;2.35;46000
164;184;Color;126;31141074;Action;Adventure;Fantasy;;;;;;140000000;2016;5.5;2.35;24000
165;145;Color;121;31704416;Action;Adventure;Sci-Fi;Thriller;;;;;135000000;2005;5.0;2.35;0
166;451;Color;215;107503316;Action;Drama;Mystery;Sci-Fi;;;;;130000000;2009;7.7;2.35;18000
167;141;Color;127;129734803;Action;Crime;Thriller;;;;;;140000000;1998;6.6;2.35;0
168;267;Color;138;132122995;Action;Sci-Fi;;;;;;;137000000;2003;5.7;1.85;0
169;351;Color;122;122512052;Action;Adventure;Sci-Fi;Thriller;;;;;130000000;2013;5.8;2.35;42000
170;163;Color;124;68642452;Action;Adventure;Comedy;Thriller;;;;;130000000;2005;6.0;2.35;0
171;166;Color;106;32131830;Action;Adventure;Animation;Fantasy;Romance;Sci-Fi;;;137000000;2001;6.4;1.85;0
172;510;Color;124;176636816;Action;Adventure;Sci-Fi;;;;;;140000000;2011;6.9;2.35;46000
173;197;Color;128;126930660;Action;Adventure;Thriller;;;;;;135000000;1999;6.4;2.35;2000
174;244;Color;138;93926386;Action;Adventure;Drama;History;War;;;;150000000;2003;7.4;2.35;0
175;322;Color;115;292298923;Adventure;Drama;Fantasy;Romance;;;;;120000000;2012;5.5;2.35;65000
176;156;Color;100;63992328;Animation;Comedy;Family;Musical;;;;;135000000;2011;5.9;2.35;0
177;354;Color;135;134518390;Action;Adventure;Sci-Fi;;;;;;150000000;2008;6.8;2.35;0
178;21;Color;60;;Action;Crime;Drama;Mystery;Thriller;;;;1500000;;7.5;1.33;0
179;252;Color;117;52792307;Adventure;Family;Fantasy;;;;;;140000000;2016;6.8;2.35;27000
180;556;Color;156;183635922;Adventure;Drama;Thriller;Western;;;;;135000000;2015;8.1;2.35;190000
181;166;Color;96;83024900;Adventure;Animation;Comedy;Family;Sport;;;;135000000;2013;6.5;2.35;13000
182;362;Color;107;123207194;Adventure;Animation;Comedy;Family;Western;;;;135000000;2011;7.2;2.35;26000
183;153;Color;92;83348920;Adventure;Animation;Comedy;Family;;;;;132000000;2014;6.7;1.85;11000
184;329;Color;115;227137090;Action;Mystery;Thriller;;;;;;110000000;2007;8.1;2.35;0
185;266;Color;92;215395021;Action;Adventure;Animation;Comedy;Family;;;;130000000;2008;7.6;2.35;6000
186;517;Color;117;180191634;Action;Adventure;Comedy;Sci-Fi;;;;;130000000;2015;7.4;1.85;61000
187;502;Color;146;424645577;Adventure;Sci-Fi;Thriller;;;;;;130000000;2013;7.6;2.35;82000
188;322;Color;115;292298923;Adventure;Drama;Fantasy;Romance;;;;;120000000;2012;5.5;2.35;65000
189;165;Color;94;177343675;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi;;;135000000;2015;6.7;1.85;26000
190;401;Color;116;234277056;Adventure;Sci-Fi;Thriller;;;;;;132000000;2005;6.5;1.85;0
191;94;Color;147;138396624;Action;Comedy;Crime;Thriller;;;;;130000000;2003;6.6;2.35;0
192;246;Color;90;149234747;Action;Adventure;Animation;Comedy;Family;Fantasy;;;130000000;2011;6.7;2.35;16000
193;330;Color;101;118311368;Action;Crime;Mystery;Thriller;;;;;110000000;2010;6.4;2.35;23000
194;434;Color;138;101160529;Action;Adventure;Drama;;;;;;125000000;2014;5.8;1.85;71000
195;440;Color;107;77564037;Action;Adventure;Family;Mystery;;;;;135000000;2011;7.4;2.35;44000
196;274;Color;142;249358727;Adventure;Family;Fantasy;Mystery;;;;;130000000;2004;7.8;2.35;11000
197;245;Color;165;49551662;Adventure;Drama;Romance;War;;;;;130000000;2008;6.6;2.35;0
198;349;Color;100;60522097;Action;Adventure;Sci-Fi;;;;;;130000000;2013;4.9;2.35;37000
199;145;Color;82;137748063;Adventure;Animation;Family;Thriller;;;;;127500000;2000;6.5;1.85;0
200;1;Color;;;Action;Fantasy;;;;;;;;2011;7.5;;40
201;154;Color;98;113733726;Adventure;Comedy;Family;Fantasy;;;;;127000000;2014;6.2;1.85;11000
202;233;Color;95;148337537;Action;Animation;Comedy;Family;Sci-Fi;;;;130000000;2010;7.3;2.35;13000
203;258;Color;159;317557891;Adventure;Family;Fantasy;;;;;;125000000;2001;7.5;2.35;16000
204;208;Color;96;33592415;Action;Comedy;Fantasy;;;;;;130000000;2013;5.6;2.35;20000
205;1;Color;120;;Action;Adventure;Drama;Horror;Sci-Fi;;;;;2016;8.2;2.35;0
206;271;Color;143;305388685;Action;Adventure;Fantasy;;;;;;140000000;2003;8.1;2.35;10000
207;4;Color;;;Fantasy;;;;;;;;;2010;6.4;;25
208;403;Color;123;337103873;Adventure;Sci-Fi;Thriller;;;;;;125000000;2014;6.7;2.35;52000
209;294;Color;174;217536138;Mystery;Thriller;;;;;;;125000000;2006;6.6;2.35;0
210;159;Color;101;131536019;Adventure;Animation;Comedy;Family;Musical;;;;103000000;2014;6.4;2.35;0
211;289;Color;134;214948780;Action;Adventure;Fantasy;Sci-Fi;Thriller;;;;110000000;2003;7.5;2.35;0
212;342;Color;132;209805005;Action;Crime;Thriller;;;;;;125000000;2011;7.3;2.35;54000
213;382;Color;129;186830669;Action;Adventure;Crime;Mystery;Thriller;;;;125000000;2011;7.5;2.35;39000
214;344;Color;106;163192114;Action;Adventure;Fantasy;;;;;;125000000;2010;5.8;2.35;15000
215;196;Color;113;119412921;Action;Sci-Fi;;;;;;;65000000;1990;7.5;1.85;0
216;85;Color;102;32694788;Action;Adventure;History;;;;;;85000000;1999;6.6;2.35;0
217;436;Color;135;113165635;Action;Adventure;Thriller;;;;;;125000000;2012;6.7;2.35;31000
218;183;Color;125;107285004;Action;;;;;;;;125000000;1997;3.7;1.85;0
219;175;Color;110;260031035;Comedy;Family;Fantasy;;;;;;123000000;2000;6.0;1.85;0
220;239;Color;124;186739919;Action;Adventure;Sci-Fi;Thriller;;;;;125000000;2004;6.4;2.35;19000
221;237;Color;123;215397307;Action;Adventure;Thriller;;;;;;125000000;2000;6.1;2.35;0
222;231;Color;130;182618434;Action;Adventure;Drama;Thriller;;;;;140000000;2000;6.4;2.35;0
223;262;Color;92;131920333;Action;Adventure;Sci-Fi;Thriller;;;;;130000000;2007;5.6;2.35;0
224;552;Color;127;124976634;Adventure;Drama;Fantasy;;;;;;120000000;2012;8.0;1.85;122000
225;276;Color;123;115802596;Action;Fantasy;Thriller;;;;;;110000000;2007;5.2;2.35;0
226;267;Color;123;108521835;Action;Thriller;;;;;;;120000000;2016;7.1;2.35;31000
227;102;Color;107;100685880;Action;Adventure;Comedy;Crime;;;;;120000000;2003;4.8;2.35;0
228;775;Color;124;126464904;Adventure;Mystery;Sci-Fi;;;;;;130000000;2012;7.0;2.35;97000
229;71;Color;77;64736114;Adventure;Animation;Comedy;Family;Fantasy;;;;120000000;2002;5.4;1.85;459
230;476;Color;109;93050117;Action;Drama;Sci-Fi;Thriller;;;;;115000000;2013;6.6;2.35;61000
231;207;Color;134;57637485;Action;Adventure;Sci-Fi;Thriller;;;;;105000000;2004;6.7;2.35;0
232;492;Color;117;58607007;Action;Crime;Sci-Fi;Thriller;;;;;100000000;2014;6.2;2.35;60000
233;284;Color;135;43929341;Action;Family;Sport;;;;;;120000000;2008;6.1;2.35;0
234;168;Color;121;30212620;Comedy;Drama;Romance;;;;;;120000000;2010;5.3;1.85;0
235;283;Color;117;76418654;Action;Comedy;Romance;;;;;;117000000;2010;6.3;2.35;11000
236;539;Color;124;89021735;Action;Adventure;Mystery;Sci-Fi;;;;;120000000;2013;7.0;2.35;71000
237;359;Color;140;380262555;Action;Adventure;Fantasy;Sci-Fi;;;;;113000000;2005;7.6;2.35;10000
238;284;Color;142;310675583;Action;Adventure;Fantasy;Sci-Fi;;;;;115000000;2002;6.7;1.78;0
239;250;Color;92;289907418;Adventure;Animation;Comedy;Family;Fantasy;;;;115000000;2001;8.1;1.85;0
240;440;Color;138;132550960;Action;Adventure;Sci-Fi;Thriller;;;;;120000000;2013;6.7;2.35;68000
241;320;Color;136;474544677;Action;Adventure;Fantasy;Sci-Fi;;;;;115000000;1999;6.5;2.35;13000
242;257;Color;98;187165546;Adventure;Animation;Comedy;Family;Fantasy;;;;135000000;2013;7.3;2.35;28000
243;33;Color;116;;Adventure;Comedy;Family;Fantasy;;;;;78000000;2008;5.1;2.35;291
244;152;Color;153;40911830;Action;Drama;War;;;;;;115000000;2002;6.0;2.35;0
245;231;Color;120;47952020;Action;Adventure;Drama;Fantasy;;;;;115000000;2016;6.1;2.35;16000
246;348;Color;101;190871240;Action;Adventure;Comedy;Sci-Fi;;;;;125000000;2014;5.9;2.35;62000
247;738;Color;91;274084951;Adventure;Drama;Sci-Fi;Thriller;;;;;100000000;2013;7.8;2.35;147000
248;93;Color;108;67155742;Action;Adventure;Thriller;;;;;;116000000;1997;5.8;2.35;0
249;181;Color;112;81638674;Action;Adventure;Comedy;Sci-Fi;;;;;135000000;2016;6.3;2.35;12000
250;369;Color;100;56114221;Action;Adventure;Sci-Fi;;;;;;120000000;2015;4.3;2.35;41000
251;179;Color;108;250863268;Action;Adventure;Comedy;Family;Fantasy;;;;110000000;2006;6.4;1.85;3000
252;358;Color;114;155181732;Action;Adventure;Drama;Thriller;;;;;110000000;2015;6.1;2.35;52000
253;160;Color;119;125332007;Action;Adventure;Thriller;;;;;;110000000;1997;6.5;2.35;0
254;192;Color;142;113330342;Action;Drama;History;War;;;;;110000000;2000;7.1;2.35;4000
255;198;Color;125;125531634;Crime;Thriller;;;;;;;110000000;2004;6.4;2.35;0
256;233;Color;126;186336103;Action;Comedy;Crime;Romance;Thriller;;;;120000000;2005;6.5;2.35;0
257;263;Color;119;129995817;Adventure;Sci-Fi;Thriller;;;;;;110000000;2015;6.3;2.35;27000
258;267; Black and White;170;102608827;Biography;Drama;;;;;;;110000000;2004;7.5;2.35;0
259;184;Color;85;42776259;Adventure;Comedy;Family;Fantasy;;;;;112000000;2010;4.9;2.35;0
260;447;Color;119;98780042;Action;Comedy;Crime;Sci-Fi;Thriller;;;;120000000;2011;5.8;2.35;14000
261;29;Color;60;;Action;Adventure;Crime;;;;;;;;7.6;4.0;0
262;366;Color;102;106369117;Action;Drama;Fantasy;War;;;;;110000000;2014;6.2;2.35;71000
263;172;Color;103;142614158;Adventure;Animation;Comedy;Family;Fantasy;;;;110000000;2011;5.5;1.78;31000
264;104;Color;76;50026353;Animation;Comedy;Family;Music;Western;;;;110000000;2004;5.4;1.78;304
265;181;Color;120;66002193;Action;Adventure;Mystery;Sci-Fi;Thriller;;;;110000000;2016;5.8;2.35;12000
266;327;Color;127;85463309;Action;Drama;Sci-Fi;Sport;;;;;110000000;2011;7.1;2.35;36000
